unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
Behman Safed,not specified,root,hot dry,['data not available'],['khafqan zof e qalb zof e bah'],['mugawwi e qalb mufarreh mubahhi mughalliz'],3 5 g,habb e jadwar majoon chobchini khamira gaozaban luboob e kabeer,,بیہمان صفی,مخصوص نہیں,جڑ,گرم خشک,['دستیاب نہیں'],['خفقان زفِ قلب زفِ بہ'],['مغوی اور قلب مغفرہ مغلزی'],3 5 جی,ہب ای جدوار مژون چوبچینی خمیرہ گاؤزبان لوبوب ای کبیر
Behman Surkh,not specified,root,hot dry,['data not available'],['khafqan zof e qalb zof e bah'],['muqawwi e qalb mufarreh mubahhi mughalliz'],3 5 g,habb e jadwar majoon chobchini dawaul misk motadil khamira gaozaban luboob e kabeer,,بیہمان سورخ,مخصوص نہیں,جڑ,گرم خشک,['دستیاب نہیں'],['خفقان زفِ قلب زفِ بہ'],['معاوی اور قلب معفرہ معبھوی مغلزی'],3 5 جی,حبّ و جدّوار مجُون چوبچینی داؤل misk motadil khamira gaozaban luboob e kabeer
Funduq,not specified,fruit,hot dry,['data not available'],['zof e dimagh zof e kabid suzak khafgan zeequn nafas'],['muqawwi e dimagh muqawwi e bah muqawwi e ama munaffis e balgham'],5 10 g,majoon arad khurma laboob sagheer laboob e kabeer halwa e gazar majoon falaksair raughan e laboob e saba,,فنڈوک,مخصوص نہیں,پھل,گرم خشک,['دستیاب نہیں'],['صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِمّا صوفِ اِم'],['مُقَوِی وَمُقَوِی وَبَہ مُقَوِی وَمُنَافِی وَبَلْغَم'],5 10 جی,مجن آرد خرمہ لابیب ساگہر لابیب ای کبیر ہالوا ای گزار مجن فلاحسار راغن ای لابیب ای ساب
Gandana,not specified,leaf,hot dry,['data not available'],['ishal'],['mufatteh e sudad habis'],3 5 g,jawarish fanjnosh habbe jalinoos habbe muqil,,گاندانا,مخصوص نہیں,پتی,گرم خشک,['دستیاب نہیں'],['ایشال'],['مُفتِتِھِ اِسُودَتِھِ'],3 5 جی,جاواریش فانجوش ہابے جالنوس ہابے موکل
Ghafis,not specified,flower,hot dry,['data not available'],['humma waram e kabid istisqa waram e tehal'],['moaddil moarriq daf e humma mohallil e waram jali'],3 5 g,majoon dabeedul ward sharbat e deenar,,غفائیاں,مخصوص نہیں,پھول,گرم خشک,['دستیاب نہیں'],['ہما وارم اور کبید استیسا وارم اور تیل'],['مدّل مُرِق دَفِ ہُمّا مُحَلّلِ وَرَم جَلِی'],3 5 جی,مَجُون بَعِیدُل وارڈ شربتِ دینار
Gul-e-Surkh,not specified,flower,cold dry,['data not available'],['zof e aza e raecsa zofe e badan nafs ud dam khafqan ashob chashm waj ul uzn qulah'],['mugawwi e aza e raecsa mugawwi e badan mugawwi meda mugawwi e rahem qabiz mushil musakkin e alam daf e taffun'],5 7 g,khamcera abresham arshad wala majoon dabeed ul ward majoon mugawwi e rahem majoon musaffi e dam majoon e ushba zuroor e qula sufoof e mushil sufoof mulaiyin sufoof chobchini araq gulab raughan e gul jawarish tamar hindi jawarish zarishk itrifal ustukhuddus itrifal shahtara,,گلِ سورخ,مخصوص نہیں,پھول,سرد خشک,['دستیاب نہیں'],['زف ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا'],['موگاوی ایزا ای رِیسا موگاوی ایbadan موگاوی میدا موگاوی ای رحیم قابیز مشیل موسکین ای عالم ڈاف ای طافون'],57 گرام,خیمسرہ ابراہیم ارشد والا مجون دا بیڈ اول وارڈ مجون موگاوی ای رحیم مجون موصفی ای ڈیم مجون ای اشبا زوروور ای کولا صوفی ای مشیل صوفی شروعین صوفی چوبچین عراق گلاب راگان ای گل جاواریش تامار ہندی جاواریش زاریشک افتخار اولسٹھوخودس افتخار شاہتر
Hummaz,not specified,seed,cold dry,['data not available'],['ishal qurooh e ama ghasayan qai atash e mufrit taqteer e baul'],['habis e dam qabiz musakkin'],3 5 g,majoon e masikul baul qurs e kahruba,,ہماز,مخصوص نہیں,بیج,سرد خشک,['دستیاب نہیں'],['اسال قروہ ایما غسایان تا اتاش ای مُفرط تقتر ای بول'],['بی بی ای ڈیم کبز موسکین'],3 5 جی,مجون اور مسکول باؤل قرس اور کھرب
Ispast,not specified,seed,cold wet,['data not available'],['zof e bah ehtebas e baul ehtebas e tams taqteer e baul hurgat e baul'],['muqawwi e bahm mudirr e baul'],3 5 g,jawarish zarooni sada luboob e sagheer,,ہٹانے,مخصوص نہیں,بیج,سرد گیلے,['دستیاب نہیں'],['زفِ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ اَبَہ'],['موکاوی ای بہم موڈیر ای باول'],3 5 جی,جاواریش زروانی سادا لوبوب و ساگیر
Kanakana,not specified,stem bark,,['data not available'],['zof e meda zof e hazm huma pechis warm e tehal humma e ejamia surat e inzal'],['mugawwi e meda mufarreh muharri e isteha daf e humma mugawwi e bah daf e taffun'],1 5 grain,habb e bukhar,,کانکینا,مخصوص نہیں,جھاڑی کی جھولی,,['دستیاب نہیں'],['زفِ مَدَدَ زفِ مَدَدَدَ مَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَدَ'],['موگاوی اور میڈا موفرہ موہری اور اسٹیہ ڈاف اور ہما موگاوی اور بہ ڈاف اور ٹافون'],15 دانے,ہبِ بُکھار
Keora,not specified,spadix,hot dry,['data not available'],['khafqan juzam waj ul badan niqras zof e qalb zof e dimagh zof e abid judri hasba waj ul qutu waj ul uzn'],['muqawwi e aza e raeesa muqawwi e meda muqawwi e basar musakkin e aam musaffi ud dam'],30 50 ml arq 20 30 ml sharbal,sharbat e keora arq e keora,,کیورا,مخصوص نہیں,پودے,گرم خشک,['دستیاب نہیں'],['خفقان جُزم waj ul badan niqras zof e qalb zof e dimagh zof e abid judri hasba waj ul qutu waj ul uzn'],['مُقَوِی اَزَا اَرَیَا مُقَوِی اَرَیَا مُقَوِی اَرَیَا بَصَرَ مُسَکِینَ اَمَ مُسَفِی اَدَمَ'],30 50 ملی لیٹر آرکی 20 30 ملی لیٹر شارب,sharbat e keora arq e keora
Khirni,not specified,stem bark,hot wet,['data not available'],['jiryan zof e qalb atash e mufrit zof e bah'],['mufarreh mugawwi e qalb mugawwi e bah jali mugalliz e mani'],5 7 g,,,کرنی,مخصوص نہیں,جھاڑی کی جھولی,گرم مٹی,['دستیاب نہیں'],['جریان زف اور قلب اتاش اور موفرٹ زف اور بہ'],['مفرح موگاوی اور قلب موگاوی اور بہ جالی موگالیز اور منی'],57 گرام,
Khiyarzah,not specified,seed,cold wet,['data not available'],['hurqat e baul ehtebas e tams atash muftit'],['mubarrid muddirr e baul daf e atash'],5 10 g,sharbat e buzoori motadil sharbat e deenar,,خیاضہ,مخصوص نہیں,بیج,سرد گیلے,['دستیاب نہیں'],['Hurqat e baul ehtebas e tams atash muftit'],['مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ مُبارِدِ'],5 10 جی,شربت اور بزوری موتیل شربت اور دینار
Khubbazi,not specified,fruit,cold wet,['data not available'],['amraz e riya sahaj e ama qurooh e meda qurooh e ama sozish e kulya sozish masana suda zaheer waj ul kabid'],['munzij mulaiyin radey muddir e baul muzliq muqawwi e ama munaffis e balgham'],5 7 g,laooq e sapistan habb e sil sharbat e ejaz,,خُبزی,مخصوص نہیں,پھل,سرد گیلے,['دستیاب نہیں'],['امرا اور ریا صحاج اور امرا اور مودا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا اور امرا'],['munzij mulaiyin radey muddir e baul muzliq muqawwi e ama munaffis e balgham'],57 گرام,لاؤق و ساپستان نے بھی اس کا اظہار کیا
Kishmish,not specified,fruit,hot wet,['data not available'],['qabz zof e aam zof e dimagh zof e qalb'],['mohallil mufatteh mulattif muqawwi e bah muqawwi e badan muqawwi e aza e raisa'],5 9 no,itrifal kishnizi majoon zabeeb,,کشمش,مخصوص نہیں,پھل,گرم مٹی,['دستیاب نہیں'],['قبض زف ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا ا'],['محاللی مفتیۃ ملتفیٰ مُقَاوِی وَبَہ مُقَاوِی وَبَہَان مُقَاوِی وَزَیْدَةَ رَضِیَ اللّٰہُ تَعَالٰی عَنْہُمَا'],5 9 نہیں,اِتریفال کِشنیزی مَجُون زبیب
Kundush,not specified,whole plant,hot dry,['data not available'],['nazla zukam iltehab e tajaweef e anaf'],['moattish munaqqi e dimagh'],1 3 g,,,کنڈوش,مخصوص نہیں,پورے پلانٹ,گرم خشک,['دستیاب نہیں'],['نزلہ زکم نے کہا کہ ہم نے اس کے ساتھ کام کیا ہے'],['موتیش منقی و دیماغ'],13 گرام,
Marorphali,not specified,legume,cold dry,['data not available'],['amraz e sadr waj ul meda dafa e kirm e shikam sual zaheer muhallil e warm'],['muhallil e warm mulattif daf e zaheer mushil e balgham jali musakkin'],4 7 g,majoon jograj gogul,,مارورفیلی,مخصوص نہیں,پودے,سرد خشک,['دستیاب نہیں'],['امرا اور سدر واجل میدا dafa اور کرم اور شیکم سوال زہر محفل اور گرم'],['مولوی صاحب اور گرم مولوی صاحب اور زہر صاحب مشیل اور بلہم جالی مصباح'],4 7 جی,مَجُون جوگراج گوگل
Mauz,not specified,fresh ripe fruit,cold wet,['data not available'],['zof loghari e badan sual e yabis khashoonat e halg'],['mughazzi musammin mufarreh qabiz naffakh mugawwi e bah munaffis e balgham'],q s,,,مُوز,مخصوص نہیں,تازہ پُر پھل,سرد گیلے,['دستیاب نہیں'],['زف لوگھری ای badan سوال ای یابیس خاشونات ای ہالگ'],['مغازی موسیٰمین مفرح قابیز نفخ مغاوی ایہہہ منفیس ایہ بلہم'],q s,
Mazoo,not specified,excrescence,cold dry,['data not available'],['ishal zaheer bawaseer damvi'],['habis qabiz mughazzi'],3 5 g,majoon muqawwi rahem,,مَزُو,مخصوص نہیں,بڑھتی ہوئی,سرد خشک,['دستیاب نہیں'],['اسال زہر باواسر داموی'],['ابا کباز موگھازی'],3 5 جی,مجون مقاوی رحیم
Mulsari,not specified,flower,hot dry,['data not available'],['surat e inzal zof e bah kasrat e ehtalam'],['mughalliz e mani muallid e mani'],5 g,,,مولصاری,مخصوص نہیں,پھول,گرم خشک,['دستیاب نہیں'],['surat e inzal zof e bah kasrat e ehtalam'],['مغلِزِ مَنِ مَوَلِدِ مَنِ'],5 جی,
Neem,not specified,seed,hot dry,['data not available'],['jarb hikka bahar bars namsh awram e khabeesa basoor qurooh'],['musaffi e dam moharrik dafe humma daf e taftun qatil e kirm'],5 g,habb e neeb,,نیم,مخصوص نہیں,بیج,گرم خشک,['دستیاب نہیں'],['جرب ہکّا بحر بار نامش اعرام ای خبیصہ باسوور قروہ'],['موسیٰ اور دم محمدؐ فضیلتِ حمٰدِ فضیلتِ قتلِ کرم'],5 جی,ہب اور نیب
Neem Gum,not specified,exudate,hot dry,['data not available'],['jarb hikka bahar bars namsh awram e khabeesa basoor qurooh'],['musaffi e dam moharrik dafe humma daf e taftun qatil e kirm'],2 g,,,نیم گمن,مخصوص نہیں,خارج ہونے والا,گرم خشک,['دستیاب نہیں'],['جرب ہکّا بحر بار نامش اعرام ای خبیصہ باسوور قروہ'],['موسیٰ اور دم محمدؐ فضیلتِ حمٰدِ فضیلتِ قتلِ کرم'],2 گرام,
Ood-e-Saleeb,not specified,tuber,,['glucosides essential oil fixed oil tannins terpenes'],['data not available'],['data not available'],1 2g bid,not specified in the text,,اوڈِ صالح,مخصوص نہیں,ٹبر,,['گلوکوزائڈ ضروری تیل ٹھوس تیل ٹیننز ٹربینز'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,متن میں مخصوص نہیں
Petha,not specified,seed,hot dry,['fixed oils fatty acids amino acids'],['data not available'],['data not available'],1 3g powder,musaffi e dam moharrik daf e humma daf e taftun qatil e kirm,,پیٹا,مخصوص نہیں,بیج,گرم خشک,['ٹھوس تیل چربی ایسڈ امینو ایسڈ'],['دستیاب نہیں'],['دستیاب نہیں'],1 3 گرام پاؤڈر,موسیٰ اور محمد کا دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم دم
Pista,not specified,seed,hot wet,['fixed oils proteins vitamins'],['data not available'],['data not available'],topical application,muqawwi e dimagh muqawwi e bah mufarreh,,پِستا,مخصوص نہیں,بیج,گرم مٹی,['ٹھوس تیل پروٹینز وٹامن'],['دستیاب نہیں'],['دستیاب نہیں'],مقامی درخواست,معاوِی و ضمیر معاوِی و بہ معاوِی
Qirfa,not specified,leaf,hot dry,['essential oils cinnamaldehyde tannins'],['data not available'],['data not available'],5 10ml,muhallil muqawwi e meda daf e taftun,,قرفہ,مخصوص نہیں,پتی,گرم خشک,['ضروری تیل سنامالڈیہائیڈ ٹیننز'],['دستیاب نہیں'],['دستیاب نہیں'],5 10 ملی لیٹر,مولوی صاحب مکہ و مدہ ڈاف و طفتون
Qurtum,not specified,flower,hot dry,['flavonoids fatty acids'],['data not available'],['data not available'],1 2g bid,muhallil musaffi e dam,,کُرتم,مخصوص نہیں,پھول,گرم خشک,['فلوینوائڈز چربی ایسڈ'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,مولوی مصفیٰ و ڈیم
Ratanjot,not specified,root,hot dry,['anthraquinones tannins'],['data not available'],['data not available'],2 5g daily,jali musaffi e dam,,رتنجوٹ,مخصوص نہیں,جڑ,گرم خشک,['اینتھرکینونز ٹیننز'],['دستیاب نہیں'],['دستیاب نہیں'],روزانہ 2 5 جی,جالی موسفی ای ڈیم
Salab Misri,not specified,root tuber,cold wet,['mucilage starch'],['data not available'],['data not available'],1 2g bid,mughazzi muqawwi e bah,,سلب مصری,مخصوص نہیں,جڑ ٹبر,سرد گیلے,['مٹی کا نشاستہ'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,موغازی موقاوی ای باہ
Sanbhalu,not specified,fruit,cold dry,['flavonoids tannins'],['data not available'],['data not available'],3 5g decoction,qabiz habis e dam,,سانبھالو,مخصوص نہیں,پھل,سرد خشک,['فلوینائڈ ٹیننز'],['دستیاب نہیں'],['دستیاب نہیں'],3 5 جی ڈائیکوریشن,کبز ابھائی اور ڈیم
Sangtara,not specified,flower,hot wet,['essential oils flavonoids'],['data not available'],['data not available'],5 10ml,mufarreh muqawwi e meda,,سانگتارا,مخصوص نہیں,پھول,گرم مٹی,['ضروری تیل فلوینوائڈز'],['دستیاب نہیں'],['دستیاب نہیں'],5 10 ملی لیٹر,مفرح مکہاوی ای میڈا
Sazaj Hindi,not specified,stem bark,hot dry,['tannins alkaloids'],['data not available'],['data not available'],1 2g bid,muhallil musaffi e dam,,ساجاج ہندی,مخصوص نہیں,جھاڑی کی جھولی,گرم خشک,['ٹینن الکلوئڈز'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,مولوی مصفیٰ و ڈیم
Shalgum,not specified,seed,cold wet,['fixed oils proteins'],['data not available'],['data not available'],3 5g decoction,mudirr e baul mubarrid,,گندم,مخصوص نہیں,بیج,سرد گیلے,['ٹھوس تیل پروٹین'],['دستیاب نہیں'],['دستیاب نہیں'],3 5 جی ڈائیکوریشن,موڈیر اور باول موبارڈ
Shaqaqul-Misri,not specified,rhizome,hot dry,['starch alkaloids'],['data not available'],['data not available'],1 2g bid,muhallil muqawwi e meda,,شققق-مصری,مخصوص نہیں,ریزوم,گرم خشک,['نشاستہ الکلوئڈز'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,مولوی محمد معاوی اور مدینہ
Sumaq,not specified,fruit,cold dry,['tannins flavonoids'],['data not available'],['data not available'],1 2g bid,qabiz habis e dam,,سوماق,مخصوص نہیں,پھل,سرد خشک,['ٹینن فلوینوئڈ'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,کبز ابھائی اور ڈیم
Talmakhana,not specified,seed,cold wet,['fixed oils alkaloids'],['data not available'],['data not available'],500mg 1g,mudirr e baul mubarrid,,تالماخانا,مخصوص نہیں,بیج,سرد گیلے,['ٹھوس تیل الکلوئڈز'],['دستیاب نہیں'],['دستیاب نہیں'],500 ملی گرام 1 گرام,موڈیر اور باول موبارڈ
Turanj,not specified,pericarp,hot wet,['essential oils flavonoids'],['data not available'],['data not available'],5 10ml,mufarreh muqawwi e meda,,ٹورنج,مخصوص نہیں,پیریکارپ,گرم مٹی,['ضروری تیل فلوینوائڈز'],['دستیاب نہیں'],['دستیاب نہیں'],5 10 ملی لیٹر,مفرح مکہاوی ای میڈا
Ushaq,not specified,oleogum resin,hot dry,['resins essential oils'],['data not available'],['data not available'],500mg 1g,muhallil musaffi e dam,,عُصَاق,مخصوص نہیں,اولیوگم ریشم,گرم خشک,['ریشم ضروری تیل'],['دستیاب نہیں'],['دستیاب نہیں'],500 ملی گرام 1 گرام,مولوی مصفیٰ و ڈیم
Zaqoom,not specified,fresh latex,hot dry,['resins alkaloids'],['data not available'],['data not available'],1 2g bid,muhallil musaffi e dam,,زاکوم,مخصوص نہیں,تازہ لیٹیکس,گرم خشک,['ریزینز الکلوئڈز'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,مولوی مصفیٰ و ڈیم
ABRESHAM,not specified,silk cocoon,hot dry,['data not available'],['khafqan palpitation zof e qalb weakness of the heart sual cough zeeq un nafas asthma nazla catarrh'],['mufarreh exhilarant munaffis e balgham expect orant mulattif demulcent jali detergent muqawwi e hafeza memmory tonic'],3 5 g,dawa ul misk motadil jawahirwali dawa ul misk motadil sada khamira abresham arshadwala khamira abresham sada khamira gaozaban sada and majoon e chobchini sharbat e abresham sada 4,,ابریشم,مخصوص نہیں,ریشم کا کوکن,گرم خشک,['دستیاب نہیں'],['خفقان دل کی دھڑکن زف و قلب دل کی کمزوری سوال کھانسی زک un نفاس آسم نازلا کتر'],['مفرحہ دلکش منفیس ای بالہم توقع اورانٹ مولاتف ڈیمولسنٹ جالی ڈٹرجنٹ موکاوی ای حافظہ میموری ٹونک'],3 5 جی,داوی اول misk موتیل جاویروالی داوی اول misk موتیل سادا خمیر ابراہیم ارشادوالہ خمیر ابراہیم سادا خمیر گاؤزبان سادا اور مجون ای چوبچینی شربت ای ابراہیم سادا 4
ADAS,not specified,seed,hot dry,['data not available'],['kasrat e baul polyuria kasrat e tams polymenorrhagia'],['qabiz constipative munaffikh flatulent habis e baul antidiuretic habis e tams antiemmme nagogic'],10 20 g,majoon masikul baul 6,,ADAS,مخصوص نہیں,بیج,گرم خشک,['دستیاب نہیں'],['کسرٹ ای بول پولیوری کسرٹ ای ٹامز پولی مینورگی'],['کباز قبضہ مونہفکھ فلولنٹ بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی بی'],10 20 گرام,مژون مسکول باول 6
AJWAIN,not specified,fruit,hot dry,['data not available'],['nafkh e shikam flatulence in the stomach waj ul meda gastric pain zof e ishteha anorexia qulanj colic shaheeqa pertussis is hal diarrhoea ikhtenaq ur rahem hysteria haiza cholera'],['mushtahi appetizer kasir e riyah carminative daf e tashannuj antispasmodic daf e taffun antiseptic'],3 6 g of the drug in powder form,arq e ajwain majoon nankhah and majoon zabeeb 8,,ایجوائن,مخصوص نہیں,پھل,گرم خشک,['دستیاب نہیں'],['نفخ و شکیم پیٹ میں فلوٹولنس waj ul meda gastric pain zof e ishha anorexia qulanj colic shaheeqa pertussis is hal diarrhea ikhtenaq ur rahem hysteria haiza cholera'],['Mushtahi appetizer kasir e riyah carminative daf e tashannuj antispasmodic daf e taffun antiseptic'],3 6 جی دوا پاؤڈر کی شکل میں,آرک ای اجوائن مجون نانکھا اور مجون زبیب 8
ANAR,not specified,fresh seed,cold dry wet,['data not available'],['anar shireen atash e mufrit polydipsia zof e am general weakness faqruddam anaeia anar tursh sozish e sadr burning in the chest ghasiyan nausea qai vomitting yarqan jaundice atash e mufrit polydipsia'],['anar shireen muqawwi e qalb cardiac tonic muqawwi e jigar liver tonic musakkin atash allays thirst muwwalid e dam haematogenic muddir e baul diuretic anar tursh qabiz constipative muqqawi e qalb cardiac tonic muqawwi e jigar liver tonic musakkine e safra bile sedative musakkine e dam blood sedative mudirre e baul diuretic qat e safra antibilious'],juice of anar 25 60 ml,sharbat e anar jawarish e anarain jawarish e pudina 10,,این اے آر,مخصوص نہیں,تازہ بیج,سرد خشک اور گیلے,['دستیاب نہیں'],['آنر شیرین اتاش ای موفرٹ پولیڈیپسیا زوف ای عام کمزوری فقرودام انیا آنر ترکی سوزی ای سدر سینے میں جلنا غازیان کی بوگی اور پھر vomiting yarqan پیلے رنگ کی آٹاش ای موفرٹ پولیڈیپسیا'],['انار شیرین موکاوی ای دل دل ٹونک موکاوی ای جگر جگر ٹونک موسکین آٹاش الے پیاسے مووالید ای دم ہیموٹوجنک مڈیر ای باول ڈائریٹک انار ترک قازیس قبضہ موکاوی ای دل دل دل ٹونک موکاوی ای جگر جگر ٹونک موسکین ای صفرا گیل سکون موسکین ای دم خون سکون موڈیر ای باول ڈائریٹک qat e safra antibilious'],انار 25 60 ملی لیٹر کا رس,شربت اور انار جاواریش اور انار جاواریش اور پڈینا 10
ANGOOR,not specified,fruit,hot wet,['data not available'],['zof e dam general weakness atash e mufrit polydipsia faqr ud dam anaemia humma muzmina chronic fever qabz constipation'],['mughazzi nutrient muwwalid e dam haematogenic mubhi adipogenous muqawwi e badan general tonic musakkin e atash allays thirst mulaiyin laxative'],125 250 g,sharbat e angoor 12,,انگور,مخصوص نہیں,پھل,گرم مٹی,['دستیاب نہیں'],['zof e dam عام کمزوری atash e mufrit polydipsia faqr ud dam انیمیا humma muzmina دائمی بخار qabz قبضہ'],['موگھازی غذائی اجزاء موگھازی ای ڈیم ہیموٹاجنک موگھائپوجنک موگھوائی ای بدن عام ٹونک موسکین ای ایٹاش الالیز پیاسا شروع کرنے والا لاکسیف'],125 250 گرام,شربت اور انقر 12
ARUSA,not specified,leaf,hot dry,['data not available'],['sual cough zeeq un nafas asthma sil pthisis waj ul asnan odontalgia'],['munaffis e balgham expectorant daf e tashannuj antispasmodic mudir e tams emmenagogue'],5 10 ml leaf decoction 3 g powder,sharbat e eijaz sharbat e arusa 14,,اروسہ,مخصوص نہیں,پتی,گرم خشک,['دستیاب نہیں'],['سوال کھانسی زیک un تنفس آسم sil pthisis waj ul asnan odontalgia'],['مونہفیس ای بالگام ایکسپیکٹرینٹ ڈیف ای ٹاشن نوج اینٹی اسپاس موڈیر ای ٹامز ایمیناگگ'],5 10 ملی لیٹر لیف ڈیکشن 3 جی پاؤڈر,شربت اور ایجاز شربت اور اردو 14
